2023-08-04 15:19:02.028 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-08-04 15:19:02.028 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-04 15:19:02.030 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-08-04 15:19:02.353 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-04 15:19:02.354 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6059 ms
2023-08-04 15:19:02.880 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-04 15:19:03.050 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-08-04 15:19:03.554 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-04 15:19:03.869 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-04 15:19:04.306 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-04 15:19:04.345 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2023-08-04 15:19:09.893 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-04 15:19:09.914 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:19:12.539 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-04 15:19:13.041 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b624a4c, org.springframework.security.web.context.SecurityContextPersistenceFilter@15f720c0, org.springframework.security.web.header.HeaderWriterFilter@29015934, org.springframework.security.web.authentication.logout.LogoutFilter@7ae37e26, org.springframework.security.web.session.ConcurrentSessionFilter@6bbd025e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4bf3ea87, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@73a75fa0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3f973882, org.springframework.security.web.session.SessionManagementFilter@394e2435, org.springframework.security.web.access.ExceptionTranslationFilter@500135d8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6d749ad]
2023-08-04 15:19:14.588 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-04 15:19:14.692 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-08-04 15:19:14.770 INFO  c.p.workshop.WorkshopApplication - Started WorkshopApplication in 20.018 seconds (JVM running for 21.873)
2023-08-04 15:19:14.843 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:19:14.853 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-04 15:19:14.882 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-04 15:19:32.431 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
